season,country,team,ranking
2011,Germany,Borussia Dortmund,1
2011,Germany,Bayern Munich,2
2011,Germany,Schalke,3
2011,Germany,Borussia Monchengladbach,4
2011,Germany,Bayer Leverkusen,5
2011,Germany,Stuttgart,6
2011,Germany,Hannover 96,7
2011,Germany,Wolfsburg,8
2011,Germany,Werder Bremen,9
2011,Germany,FC Nurnberg,10
2011,Germany,Hoffenheim,11
2011,Germany,SC Freiburg,12
2011,Germany,Mainz,13
2011,Germany,FC Augsburg,14
2011,Germany,Hamburg,15
2011,Germany,Hertha Berlin,16
2011,Germany,Cologne,17
2011,Germany,Kaiserslautern,18
2012,Germany,Bayern Munich,1
2012,Germany,Borussia Dortmund,2
2012,Germany,Bayer Leverkusen,3
2012,Germany,Schalke,4
2012,Germany,SC Freiburg,5
2012,Germany,Eintracht Frankfurt,6
2012,Germany,Hamburg,7
2012,Germany,Borussia Monchengladbach,8
2012,Germany,Hannover 96,9
2012,Germany,FC Nurnberg,10
2012,Germany,Wolfsburg,11
2012,Germany,Stuttgart,12
2012,Germany,Mainz,13
2012,Germany,Werder Bremen,14
2012,Germany,FC Augsburg,15
2012,Germany,Hoffenheim,16
2012,Germany,Fortuna Dusseldorf,17
2012,Germany,Greuther Furth,18
2013,Germany,Bayern Munich,1
2013,Germany,Borussia Dortmund,2
2013,Germany,Schalke,3
2013,Germany,Bayer Leverkusen,4
2013,Germany,Wolfsburg,5
2013,Germany,Borussia Monchengladbach,6
2013,Germany,Mainz,7
2013,Germany,FC Augsburg,8
2013,Germany,Hoffenheim,9
2013,Germany,Hannover 96,10
2013,Germany,Hertha Berlin,11
2013,Germany,Werder Bremen,12
2013,Germany,Eintracht Frankfurt,13
2013,Germany,SC Freiburg,14
2013,Germany,Stuttgart,15
2013,Germany,Hamburg,16
2013,Germany,FC Nurnberg,17
2013,Germany,Eintracht Braunschweig,18
2014,Germany,Bayern Munich,1
2014,Germany,Wolfsburg,2
2014,Germany,Borussia Monchengladbach,3
2014,Germany,Bayer Leverkusen,4
2014,Germany,FC Augsburg,5
2014,Germany,Schalke,6
2014,Germany,Borussia Dortmund,7
2014,Germany,Hoffenheim,8
2014,Germany,Eintracht Frankfurt,9
2014,Germany,Werder Bremen,10
2014,Germany,Mainz,11
2014,Germany,Cologne,12
2014,Germany,Hannover 96,13
2014,Germany,Stuttgart,14
2014,Germany,Hertha Berlin,15
2014,Germany,Hamburg,16
2014,Germany,SC Freiburg,17
2014,Germany,SC Paderborn 07,18
2015,Germany,Bayern Munich,1
2015,Germany,Borussia Dortmund,2
2015,Germany,Bayer Leverkusen,3
2015,Germany,Borussia Monchengladbach,4
2015,Germany,Schalke,5
2015,Germany,Mainz,6
2015,Germany,Hertha Berlin,7
2015,Germany,Wolfsburg,8
2015,Germany,Cologne,9
2015,Germany,Hamburg,10
2015,Germany,FC Ingolstadt 04,11
2015,Germany,FC Augsburg,12
2015,Germany,Werder Bremen,13
2015,Germany,SV Darmstadt 98,14
2015,Germany,Hoffenheim,15
2015,Germany,Eintracht Frankfurt,16
2015,Germany,Stuttgart,17
2015,Germany,Hannover 96,18
2011,France,Montpellier,1
2011,France,Paris Saint-Germain,2
2011,France,Lille,3
2011,France,Lyon,4
2011,France,Bordeaux,5
2011,France,Rennes,6
2011,France,St Etienne,7
2011,France,Toulouse,8
2011,France,Evian Thonon Gaillar,9
2011,France,Marseille,10
2011,France,Nancy,11
2011,France,Valenciennes,12
2011,France,Nice,13
2011,France,Sochaux,14
2011,France,Brest,15
2011,France,AC Ajaccio,16
2011,France,Lorient,17
2011,France,Caen,18
2011,France,Dijon,19
2011,France,Auxerre,20
2012,France,Paris Saint-Germain,1
2012,France,Marseille,2
2012,France,Lyon,3
2012,France,Nice,4
2012,France,St Etienne,5
2012,France,Lille,6
2012,France,Bordeaux,7
2012,France,Lorient,8
2012,France,Montpellier,9
2012,France,Toulouse,10
2012,France,Valenciennes,11
2012,France,Bastia,12
2012,France,Rennes,13
2012,France,Reims,14
2012,France,Sochaux,15
2012,France,Evian Thonon Gaillar,16
2012,France,AC Ajaccio *,17
2012,France,Nancy,18
2012,France,Troyes,19
2012,France,Brest,20
2013,France,Paris Saint-Germain,1
2013,France,Monaco,2
2013,France,Lille,3
2013,France,St Etienne,4
2013,France,Lyon,5
2013,France,Marseille,6
2013,France,Bordeaux,7
2013,France,Lorient,8
2013,France,Toulouse,9
2013,France,Bastia,10
2013,France,Reims,11
2013,France,Rennes,12
2013,France,Nantes,13
2013,France,Evian Thonon Gaillar,14
2013,France,Montpellier,15
2013,France,Guingamp,16
2013,France,Nice,17
2013,France,Sochaux,18
2013,France,Valenciennes,19
2013,France,AC Ajaccio,20
2014,France,Paris Saint-Germain,1
2014,France,Lyon,2
2014,France,Monaco,3
2014,France,Marseille,4
2014,France,St Etienne,5
2014,France,Bordeaux,6
2014,France,Montpellier,7
2014,France,Lille,8
2014,France,Rennes,9
2014,France,Guingamp,10
2014,France,Nice,11
2014,France,Bastia,12
2014,France,Caen,13
2014,France,Nantes,14
2014,France,Reims,15
2014,France,Lorient,16
2014,France,Toulouse,17
2014,France,Evian Thonon Gaillar,18
2014,France,Metz,19
2014,France,RC Lens,20
2015,France,Paris Saint-Germain,1
2015,France,Lyon,2
2015,France,Monaco,3
2015,France,Nice,4
2015,France,Lille,5
2015,France,St Etienne,6
2015,France,Caen,7
2015,France,Rennes,8
2015,France,Angers,9
2015,France,Bastia,10
2015,France,Bordeaux,11
2015,France,Montpellier,12
2015,France,Marseille,13
2015,France,Nantes,14
2015,France,Lorient,15
2015,France,Guingamp,16
2015,France,Toulouse,17
2015,France,Reims,18
2015,France,Gazelec Ajaccio,19
2015,France,Troyes,20
2011,England,Manchester City,1
2011,England,Manchester United,2
2011,England,Arsenal,3
2011,England,Tottenham Hotspur,4
2011,England,Newcastle United,5
2011,England,Chelsea,6
2011,England,Everton,7
2011,England,Liverpool,8
2011,England,Fulham,9
2011,England,West Bromwich Albion,10
2011,England,Swansea City,11
2011,England,Norwich City,12
2011,England,Sunderland,13
2011,England,Stoke City,14
2011,England,Wigan Athletic,15
2011,England,Aston Villa,16
2011,England,Queens Park Rangers,17
2011,England,Bolton Wanderers,18
2011,England,Blackburn Rovers,19
2011,England,Wolverhampton Wanderers,20
2012,England,Manchester United,1
2012,England,Manchester City,2
2012,England,Chelsea,3
2012,England,Arsenal,4
2012,England,Tottenham Hotspur,5
2012,England,Everton,6
2012,England,Liverpool,7
2012,England,West Bromwich Albion,8
2012,England,Swansea City,9
2012,England,West Ham United,10
2012,England,Norwich City,11
2012,England,Fulham,12
2012,England,Stoke City,13
2012,England,Southampton,14
2012,England,Aston Villa,15
2012,England,Newcastle United,16
2012,England,Sunderland,17
2012,England,Wigan Athletic,18
2012,England,Reading,19
2012,England,Queens Park Rangers,20
2013,England,Manchester City,1
2013,England,Liverpool,2
2013,England,Chelsea,3
2013,England,Arsenal,4
2013,England,Everton,5
2013,England,Tottenham Hotspur,6
2013,England,Manchester United,7
2013,England,Southampton,8
2013,England,Stoke City,9
2013,England,Newcastle United,10
2013,England,Crystal Palace,11
2013,England,Swansea City,12
2013,England,West Ham United,13
2013,England,Sunderland,14
2013,England,Aston Villa,15
2013,England,Hull City,16
2013,England,West Bromwich Albion,17
2013,England,Norwich City,18
2013,England,Fulham,19
2013,England,Cardiff City,20
2014,England,Chelsea,1
2014,England,Manchester City,2
2014,England,Arsenal,3
2014,England,Manchester United,4
2014,England,Tottenham Hotspur,5
2014,England,Liverpool,6
2014,England,Southampton,7
2014,England,Swansea City,8
2014,England,Stoke City,9
2014,England,Crystal Palace,10
2014,England,Everton,11
2014,England,West Ham United,12
2014,England,West Bromwich Albion,13
2014,England,Leicester City,14
2014,England,Newcastle United,15
2014,England,Sunderland,16
2014,England,Aston Villa,17
2014,England,Hull City,18
2014,England,Burnley,19
2014,England,Queens Park Rangers,20
2015,England,Leicester City,1
2015,England,Arsenal,2
2015,England,Tottenham Hotspur,3
2015,England,Manchester City,4
2015,England,Manchester United,5
2015,England,Southampton,6
2015,England,West Ham United,7
2015,England,Liverpool,8
2015,England,Stoke City,9
2015,England,Chelsea,10
2015,England,Everton,11
2015,England,Swansea City,12
2015,England,Watford,13
2015,England,West Bromwich Albion,14
2015,England,Crystal Palace,15
2015,England,Bournemouth,16
2015,England,Sunderland,17
2015,England,Newcastle United,18
2015,England,Norwich City,19
2015,England,Aston Villa,20
2011,Italy,Juventus,1
2011,Italy,AC Milan,2
2011,Italy,Udinese,3
2011,Italy,Lazio,4
2011,Italy,Napoli,5
2011,Italy,Inter Milan,6
2011,Italy,Roma,7
2011,Italy,Parma,8
2011,Italy,Bologna,9
2011,Italy,Chievo,10
2011,Italy,Catania,11
2011,Italy,Atalanta *,12
2011,Italy,Fiorentina,13
2011,Italy,Siena,14
2011,Italy,Cagliari,15
2011,Italy,Palermo,16
2011,Italy,Genoa,17
2011,Italy,Lecce,18
2011,Italy,Novara,19
2011,Italy,Cesena,20
2012,Italy,Juventus,1
2012,Italy,Napoli,2
2012,Italy,AC Milan,3
2012,Italy,Fiorentina,4
2012,Italy,Udinese,5
2012,Italy,Roma,6
2012,Italy,Lazio,7
2012,Italy,Catania,8
2012,Italy,Inter Milan,9
2012,Italy,Parma,10
2012,Italy,Cagliari,11
2012,Italy,Chievo,12
2012,Italy,Bologna,13
2012,Italy,Sampdoria *,14
2012,Italy,Atalanta *,15
2012,Italy,Torino *,16
2012,Italy,Genoa,17
2012,Italy,Palermo,18
2012,Italy,Siena *,19
2012,Italy,Pescara,20
2013,Italy,Juventus,1
2013,Italy,Roma,2
2013,Italy,Napoli,3
2013,Italy,Fiorentina,4
2013,Italy,Inter Milan,5
2013,Italy,Parma,6
2013,Italy,Torino,7
2013,Italy,AC Milan,8
2013,Italy,Lazio,9
2013,Italy,Verona,10
2013,Italy,Atalanta,11
2013,Italy,Sampdoria,12
2013,Italy,Udinese,13
2013,Italy,Genoa,14
2013,Italy,Cagliari,15
2013,Italy,Chievo,16
2013,Italy,Sassuolo,17
2013,Italy,Catania,18
2013,Italy,Bologna,19
2013,Italy,Livorno,20
2014,Italy,Juventus,1
2014,Italy,Roma,2
2014,Italy,Lazio,3
2014,Italy,Fiorentina,4
2014,Italy,Napoli,5
2014,Italy,Genoa,6
2014,Italy,Sampdoria,7
2014,Italy,Inter Milan,8
2014,Italy,Torino,9
2014,Italy,AC Milan,10
2014,Italy,Palermo,11
2014,Italy,Sassuolo,12
2014,Italy,Verona,13
2014,Italy,Chievo,14
2014,Italy,Empoli,15
2014,Italy,Udinese,16
2014,Italy,Atalanta,17
2014,Italy,Cagliari,18
2014,Italy,Cesena,19
2014,Italy,Parma *,20
2015,Italy,Juventus,1
2015,Italy,Napoli,2
2015,Italy,Roma,3
2015,Italy,Inter Milan,4
2015,Italy,Fiorentina,5
2015,Italy,Sassuolo,6
2015,Italy,AC Milan,7
2015,Italy,Lazio,8
2015,Italy,Chievo,9
2015,Italy,Empoli,10
2015,Italy,Genoa,11
2015,Italy,Torino,12
2015,Italy,Atalanta,13
